   Compiling busel-burn v0.1.0 (/home/sehaxe/busel-ai/burn_migration)
warning: function `col_norm_fused` is never used
  --> src/cube/mod.rs:20:8
   |
20 | pub fn col_norm_fused<B: burn::tensor::backend::Backend, const D: usize>(
   |        ^^^^^^^^^^^^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `busel-burn` (bin "busel-burn") generated 1 warning
    Finished `release` profile [optimized] target(s) in 4m 09s
     Running `target/release/busel-burn vorobey --bs 256 --cs 256 --steps 2594 --clip 1.0`
[busel-burn] tui-full requires a terminal — running without TUI
[tr] step 124/2594 loss 10.3125000000 lr 0.0028837209
[tr] step 125/2594 loss 10.3750000000 lr 0.0029069767
[tr] step 126/2594 loss 10.3125000000 lr 0.0029302326
[tr] step 127/2594 loss 10.5000000000 lr 0.0029534884
[tr] step 128/2594 loss 10.3125000000 lr 0.0029767442
[tr] step 129/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 130/2594 loss 10.5625000000 lr 0.0030000000
[tr] step 131/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 132/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 133/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 134/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 135/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 136/2594 loss 10.4375000000 lr 0.0030000000
[tr] step 137/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 138/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 139/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 140/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 141/2594 loss 10.3125000000 lr 0.0030000000
[tr] step 142/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 143/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 144/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 145/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 146/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 147/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 148/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 149/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 150/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 151/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 152/2594 loss 10.5625000000 lr 0.0030000000
[tr] step 153/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 154/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 155/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 156/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 157/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 158/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 159/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 160/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 161/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 162/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 163/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 164/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 165/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 166/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 167/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 168/2594 loss 10.3750000000 lr 0.0030000000
[tr] step 169/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 170/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 171/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 172/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 173/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 174/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 175/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 176/2594 loss 10.3750000000 lr 0.0030000000
[tr] step 177/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 178/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 179/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 180/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 181/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 182/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 183/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 184/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 185/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 186/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 187/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 188/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 189/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 190/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 191/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 192/2594 loss 10.1875000000 lr 0.0030000000
[tr] step 193/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 194/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 195/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 196/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 197/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 198/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 199/2594 loss 9.9375000000 lr 0.0030000000
[tm] step 200 avg 86.6ms/step
[tr] step 200/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 201/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 202/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 203/2594 loss 10.0625000000 lr 0.0030000000
[tr] step 204/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 205/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 206/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 207/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 208/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 209/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 210/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 211/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 212/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 213/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 214/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 215/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 216/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 217/2594 loss 10.0625000000 lr 0.0030000000
[tr] step 218/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 219/2594 loss 10.0625000000 lr 0.0030000000
[tr] step 220/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 221/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 222/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 223/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 224/2594 loss 10.0625000000 lr 0.0030000000
[tr] step 225/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 226/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 227/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 228/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 229/2594 loss 9.9375000000 lr 0.0030000000
[tr] step 230/2594 loss 10.0625000000 lr 0.0030000000
[tr] step 231/2594 loss 10.0000000000 lr 0.0030000000
[tr] step 232/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 233/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 234/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 235/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 236/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 237/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 238/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 239/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 240/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 241/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 242/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 243/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 244/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 245/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 246/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 247/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 248/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 249/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 250/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 251/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 252/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 253/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 254/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 255/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 256/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 257/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 258/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 259/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 260/2594 loss 10.1250000000 lr 0.0030000000
[tr] step 261/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 262/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 263/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 264/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 265/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 266/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 267/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 268/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 269/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 270/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 271/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 272/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 273/2594 loss 9.7500000000 lr 0.0030000000
[tr] step 274/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 275/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 276/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 277/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 278/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 279/2594 loss 10.2500000000 lr 0.0030000000
[tr] step 280/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 281/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 282/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 283/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 284/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 285/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 286/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 287/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 288/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 289/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 290/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 291/2594 loss 9.8750000000 lr 0.0030000000
[tr] step 292/2594 loss 9.8125000000 lr 0.0030000000
[tr] step 293/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 294/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 295/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 296/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 297/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 298/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 299/2594 loss 9.4375000000 lr 0.0030000000
[tm] step 300 avg 108.2ms/step
[tr] step 300/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 301/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 302/2594 loss 9.6875000000 lr 0.0030000000
[tr] step 303/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 304/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 305/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 306/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 307/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 308/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 309/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 310/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 311/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 312/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 313/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 314/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 315/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 316/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 317/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 318/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 319/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 320/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 321/2594 loss 9.6250000000 lr 0.0030000000
[tr] step 322/2594 loss 9.4375000000 lr 0.0030000000
[tr] step 323/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 324/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 325/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 326/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 327/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 328/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 329/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 330/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 331/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 332/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 333/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 334/2594 loss 9.0625000000 lr 0.0030000000
[tr] step 335/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 336/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 337/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 338/2594 loss 9.5000000000 lr 0.0030000000
[tr] step 339/2594 loss 9.5625000000 lr 0.0030000000
[tr] step 340/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 341/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 342/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 343/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 344/2594 loss 9.1250000000 lr 0.0030000000
[tr] step 345/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 346/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 347/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 348/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 349/2594 loss 9.3750000000 lr 0.0030000000
[tr] step 350/2594 loss 9.1875000000 lr 0.0030000000
[tr] step 351/2594 loss 9.3125000000 lr 0.0030000000
[tr] step 352/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 353/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 354/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 355/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 356/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 357/2594 loss 9.2500000000 lr 0.0030000000
[tr] step 358/2594 loss 9.2500000000 lr 0.0030000000
